feature,importance_gain
extreme_wave_days,0.291346
turb_mean,0.0838888
chl_std,0.0793544
sal_mean,0.06914536
distance_to_shore,0.054829996
rain_mean,0.052195348
wind_mean,0.045476425
slope,0.045262348
rain_std,0.027716003
chl_mean,0.027469909
sal_std,0.0264455
wave_mean,0.024907479
cyclone,0.024873571
turb_std,0.023749767
wind_std,0.022300994
wave_std,0.02131609
current_mean,0.020286458
sst_mean,0.01760737
heat_stress_freq,0.014190905
depth,0.010009004
sst_var,0.009596861
extreme_rain,0.00803141
sal_shock_days,0.0
shallow_mask,0.0
