feature,mean_abs_shap,mean_signed_shap
turb_mean,1.8671100682510835,-1.1896513581003358
distance_to_shore,0.9475025614965858,-0.5472171992684404
sst_mean,0.4683497653198921,-0.22464864249757635
wave_std,0.3812708484569216,-0.1419749128503528
wave_mean,0.3270861802365237,-0.19593908047167266
slope,0.30977869476002406,-0.17604901617377755
turb_std,0.2281793091007001,0.015207992003458301
wind_mean,0.22579934649033154,-0.11663683220304973
sst_var,0.14397411610045266,-0.07593142999358839
rain_mean,0.10942537869076903,-0.02779705727064028
chl_std,0.10838608208256281,-0.06204024123073351
sal_mean,0.08952556861795455,-0.05876128401179472
wind_std,0.08792269917969721,-0.04886404436831249
cyclone,0.06253379412048413,-0.04719756708132118
current_mean,0.062493994037007415,-0.031725268530833524
sal_std,0.05184867393558588,-0.011134120276031213
chl_mean,0.020185775454799697,-0.004865295573599576
rain_std,0.0172608833763809,-0.012523952434293745
depth,0.017079535064881864,-0.007755511826021612
heat_stress_freq,0.008925232710695364,-0.0016072944064087014
extreme_rain,0.003937990100376641,-0.0019966568821488417
sal_shock_days,0.0,0.0
extreme_wave_days,0.0,0.0
