record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,p_raw,p_raw_std,p_calibrated,dist_to_pos_km,regime_bin,subregion_id
rp_v1_1p1_0001,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71010529750085,9.08583934912498,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9237366,0.0,0.6666667,1.9747785822213864,2_3_2_0,2
rp_v1_1p1_0002,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.74603790886562,9.49906437981996,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9317886,0.0,0.6666667,1.399828714470158,0_2_1_2,6
rp_v1_1p1_0003,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.73705475602442,9.508047532661156,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9483175,0.0,0.6666667,0.9934169455618506,0_2_1_3,6
rp_v1_1p1_0004,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.70112214465965,9.112788807648569,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.97428495,0.0,0.6666667,0.993408690605801,3_2_2_0,2
rp_v1_1p1_0005,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71908845034204,9.12177196048976,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9711392,0.0,0.6666667,0.9934022843725303,3_1_2_0,2
rp_v1_1p1_0006,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.72807160318324,9.12177196048976,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9202944,0.0,0.6666667,0.9933988789602312,3_1_2_0,2
rp_v1_1p1_0007,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.68315583897726,9.094822501966176,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9336253,0.0,0.6666667,0.9873698620584029,3_2_3_0,2
rp_v1_1p1_0008,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.69213899181845,9.103805654807372,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9751414,0.0,0.6666667,0.9873417491556454,3_3_3_0,2
rp_v1_1p1_0009,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71010529750085,9.112788807648569,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.9751923,0.0,0.6666667,0.9873102161128722,2_2_2_0,2
rp_v1_1p1_0010,satellite_digitized,regime_positive_mining_v1_1p1,model-guided regime-stratified candidate; needs manual verification,,Kappaphycus alvarezii,,,79.7729873673892,9.112788807648569,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD",0.95637554,0.0,0.6666667,0.9872901945247682,2_2_2_0,3
