record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
rp_v1_1p1_0001,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.71010529750085,9.08583934912498,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0002,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.74603790886562,9.49906437981996,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0003,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.73705475602442,9.508047532661156,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0004,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.70112214465965,9.112788807648569,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0005,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.71908845034204,9.12177196048976,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0007,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.68315583897726,9.094822501966176,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0010,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.7729873673892,9.112788807648569,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0013,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.30586341964705,9.328384475837252,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0014,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.32382972532945,9.328384475837252,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0015,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.74603790886562,9.526013838343546,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0016,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.73705475602442,9.534996991184745,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0017,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.76400421454801,9.68771058948506,1,1.0,False,0.6666667,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0020,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.74603790886562,9.508047532661156,1,1.0,False,0.4,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0021,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.08128459861717,9.247536100266496,1,1.0,False,0.4,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
rp_v1_1p1_0022,model_guided_provisional,regime_positive_shortlist_auto,provisional model-guided candidate (not field-verified),,Kappaphycus alvarezii,,,79.09026775145837,9.301435017313668,1,1.0,False,0.4,False,,provisional,experimental_provisional_positive_from_regime_mining,NOT_FOR_PRODUCTION|requires_manual_verification
