rank,record_id,lon,lat,maps_url,p_calibrated,p_raw,p_raw_std,priority_score,dist_to_pos_km,depth,distance_to_shore,wave_mean,turb_mean,sal_std,regime_bin,subregion_id,verification_decision,verification_confidence,evidence_url_1,evidence_url_2,verified_dates,reviewer,review_notes
1,v12vp_0001,79.00941937588762,9.355333934360836,"https://www.google.com/maps?q=9.355333934360836,79.00941937588762",0.6666667,0.91206586,0.0,0.5676858564381414,2.8012187079202877,0.8851986,993.7593,0.5595071,475.0956,2.9376645,0_0_1_4,12,pending,,,,,,
2,v12vp_0002,79.01840252872881,9.346350781519645,"https://www.google.com/maps?q=9.346350781519645,79.01840252872881",0.6666667,0.9241255,0.0,0.5641643427055388,1.4006143903069679,0.79320157,986.9981,0.5595071,420.76147,2.9300725,0_0_1_4,12,pending,,,,,,
3,v12vp_0003,79.01840252872881,9.355333934360836,"https://www.google.com/maps?q=9.355333934360836,79.01840252872881",0.6666667,0.9165712,0.0,0.5392589775193176,2.219080837188699,1.4950072,1400.6044,0.5595071,455.173,2.9300725,1_0_1_4,12,pending,,,,,,
4,v12vp_0004,79.00941937588762,9.364317087202032,"https://www.google.com/maps?q=9.364317087202032,79.00941937588762",0.6666667,0.90262055,0.0,0.5159307495161146,3.575536697797629,1.4241878,1973.9106,0.5595071,496.0142,2.9376645,1_0_1_4,12,pending,,,,,,
5,v12vp_0005,79.73705475602442,9.130755113330958,"https://www.google.com/maps?q=9.130755113330958,79.73705475602442",0.6666667,0.95566845,0.0,0.47709264961808456,1.4005429504878832,4.5013795,1986.7915,0.64617026,687.60004,0.15042552,4_2_2_0,14,pending,,,,,,
6,v12vp_0006,79.7819705202304,8.501934414447293,"https://www.google.com/maps?q=8.501934414447293,79.7819705202304",0.3,0.20863272,0.0,0.43164013,58.608281796731994,3.435788,2980.0398,0.7202358,1026.5596,1.1612067,3_4_4_2,4,pending,,,,,,
7,v12vp_0007,79.76400421454801,9.0499067377602,"https://www.google.com/maps?q=9.0499067377602,79.76400421454801",0.42424244,0.7269883,0.0,0.42151451008933394,2.80137626198327,2.1709385,993.38214,0.6808922,829.60785,1.7431514,2_3_3_3,9,pending,,,,,,
8,v12vp_0008,79.71908845034204,9.06787304344259,"https://www.google.com/maps?q=9.06787304344259,79.71908845034204",0.42424244,0.808798,0.0,0.4115749379682954,3.5668279326717194,1.3897423,1400.6547,0.6883227,792.0836,0.5733223,1_3_3_1,9,pending,,,,,,
9,v12vp_0009,79.71010529750085,9.08583934912498,"https://www.google.com/maps?q=9.08583934912498,79.71010529750085",0.42424244,0.8393383,0.0,0.41016359424901927,1.9747785822213864,3.0539274,987.3876,0.6871192,1350.6779,0.31963208,3_4_3_0,9,pending,,,,,,
10,v12vp_0010,79.74603790886562,9.6158453667555,"https://www.google.com/maps?q=9.6158453667555,79.74603790886562",0.42424244,0.7888026,0.0,0.40444151001614514,3.1390962079402778,1.9624367,1399.5918,0.51048106,743.5764,0.8491235,2_3_0_1,19,pending,,,,,,
11,v12vp_0011,79.71908845034204,9.08583934912498,"https://www.google.com/maps?q=9.08583934912498,79.71908845034204",0.42424244,0.70655864,0.0,0.40002226613880026,2.8012388400581254,4.350123,987.38074,0.67876226,1451.0398,0.3916644,4_4_3_0,9,pending,,,,,,
12,v12vp_0012,79.75502106170681,9.624828519596694,"https://www.google.com/maps?q=9.624828519596694,79.75502106170681",0.33333334,0.4169321,0.0,0.3917220292323397,3.973662086802188,0.5878998,985.8476,0.51406664,783.0537,1.3405911,0_3_0_2,19,pending,,,,,,
13,v12vp_0013,79.00043622304642,9.364317087202032,"https://www.google.com/maps?q=9.364317087202032,79.00043622304642",0.33333334,0.372303,0.0,0.3894720856514279,4.2018129685528285,0.8851986,986.95795,0.5595071,630.70685,2.9452567,0_1_1_4,12,pending,,,,,,
14,v12vp_0014,79.64722322761247,9.517030685502352,"https://www.google.com/maps?q=9.517030685502352,79.64722322761247",0.3,0.19769855,0.0,0.38357687306431865,9.095112163486242,1.3150104,986.1995,0.5511048,699.5632,2.3007255,1_2_1_3,19,pending,,,,,,
15,v12vp_0015,79.74603790886562,9.49906437981996,"https://www.google.com/maps?q=9.49906437981996,79.74603790886562",0.42424244,0.8575856,0.0,0.38130429659695575,1.399828714470158,0.81841177,1972.4365,0.56187135,727.32544,2.370854,0_2_2_3,19,pending,,,,,,
16,v12vp_0016,79.14416666850555,9.265502405948885,"https://www.google.com/maps?q=9.265502405948885,79.14416666850555",0.33333334,0.405619,0.0,0.38119565781796716,1.4006531926315402,0.7233485,993.6781,0.7436669,656.7769,2.326447,0_2_4_3,12,pending,,,,,,
17,v12vp_0017,79.26993080828228,9.31041817015486,"https://www.google.com/maps?q=9.31041817015486,79.26993080828228",0.35,0.56965625,0.0,0.38027169635130253,1.4004959856842603,1.7659643,986.9567,0.65082836,774.551,2.6101394,2_3_2_4,13,pending,,,,,,
