threshold,oof_precision,oof_recall,oof_f1,oof_specificity,hard_precision,hard_recall,hard_f1,hard_specificity,hard_accuracy
0.0,0.3520710059171598,1.0,0.5207877461706784,0.0,0.5,1.0,0.6666666666666666,0.0,0.5
0.005,0.3742138364779874,1.0,0.5446224256292905,0.091324200913242,0.5102040816326531,1.0,0.6756756756756758,0.04,0.52
0.01,0.3742138364779874,1.0,0.5446224256292905,0.091324200913242,0.5102040816326531,1.0,0.6756756756756758,0.04,0.52
0.015,0.3742138364779874,1.0,0.5446224256292905,0.091324200913242,0.5102040816326531,1.0,0.6756756756756758,0.04,0.52
0.02,0.3742138364779874,1.0,0.5446224256292905,0.091324200913242,0.5102040816326531,1.0,0.6756756756756758,0.04,0.52
0.020833,0.3742138364779874,1.0,0.5446224256292905,0.091324200913242,0.5102040816326531,1.0,0.6756756756756758,0.04,0.52
0.025,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.03,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.035,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.04,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.045,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.05,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.055,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.06,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.065,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.07,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.075,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.08,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.085,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.09,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.095,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.1,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
