site_rank,lon,lat,p_raw,p_raw_std,p_calibrated,pred_label,priority,min_dist_to_selected_km
1,79.73503949340574,9.119533574791042,0.96335953,0.0,1.0,1,high,
2,79.69910688204095,9.101567269108653,0.9924959,0.0,1.0,1,high,4.421547933782562
3,79.36673022691673,9.21834825604419,0.9695737,0.0,1.0,1,high,38.747420184550414
4,79.68114057635856,9.083600963426262,0.9907032,0.0,1.0,1,high,2.801671313415914
5,78.98943780758653,9.27224717309136,0.98419094,0.0,1.0,1,high,41.8843900101572
6,79.66317427067617,9.074617810585066,0.970898,0.0,1.0,1,high,2.210927181768251
7,79.7889384104529,9.64953959242156,0.98068917,0.0,1.0,1,high,58.918873132505496
8,79.73503949340574,9.523775452644829,0.9489269,0.0,1.0,1,high,15.116228372138382
9,79.0702861831573,9.254280867408973,0.9578709,0.0,1.0,1,high,9.102940206883883
10,78.96248834906294,9.27224717309136,0.94917196,0.0,1.0,1,high,2.9610589550035185
11,79.33079761555194,9.326146090138533,0.95902777,0.0,1.0,1,high,12.559454459105236
12,79.72605634056454,9.487842841280044,0.98270607,0.0,1.0,1,high,4.094881053489812
13,79.71707318772334,9.110550421949847,0.9927303,0.0,1.0,1,high,2.210752043611758
14,79.75300579908813,9.110550421949847,0.9914526,0.0,1.0,1,high,2.210752043611758
15,79.7889384104529,9.02970204637909,0.96864647,0.0,1.0,1,high,9.775684749476156
16,79.77097210477051,9.676489050945143,0.9833401,0.0,1.0,1,high,3.573928597395458
17,79.66317427067617,9.038685199220286,0.3674763,0.0,0.64285713,1,medium,3.9742112723924206
18,79.57334274226422,9.02970204637909,0.34151232,0.0,0.64285713,1,medium,9.926610490893236
19,79.63622481215259,9.02970204637909,0.3674763,0.0,0.64285713,1,medium,3.125169663105125
20,79.76198895192931,9.02970204637909,0.6297738,0.0,0.64285713,1,medium,2.963065647562207
21,79.54639328374063,9.0117357406967,0.296142,0.0,0.64285713,1,medium,3.56773958824446
22,79.72605634056454,9.02970204637909,0.34145615,0.0,0.64285713,1,medium,3.9507541960503274
23,79.55537643658182,9.038685199220286,0.30532554,0.0,0.64285713,1,medium,2.2111451443290493
24,79.52842697805825,9.02970204637909,0.23715396,0.0,0.64285713,1,medium,2.8019423808802633
25,79.59130904794661,9.020718893537897,0.37824547,0.0,0.64285713,1,medium,2.2111886088052968
26,79.6182585064702,9.020718893537897,0.39434212,0.0,0.64285713,1,medium,2.2111886088052968
27,79.77097210477051,8.517662334430963,0.46212268,0.0,0.64285713,1,medium,56.64027831269321
28,79.59130904794661,8.99376943501431,0.34047493,0.0,0.64285713,1,medium,2.9806504495783375
29,79.56435958942302,9.056651504902677,0.2961855,0.0,0.64285713,1,medium,2.21901260099189
30,79.57334274226422,9.002752587855504,0.37252814,0.0,0.64285713,1,medium,2.2113187461359933
