rank,record_id,lon,lat,priority_score,edge_zone,p_calibrated,dist_to_pos_km,depth,wave_mean,turb_mean,sal_mean,source_type,source_name,source_reference,citation_url,species,eventDate,year,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
1,bp_v1_1_0004,79.32382972532945,9.211603488901714,0.6225760718110475,center,0.5882353186607361,11.963764648112257,3.7853792,0.69047683,507.4958,29.964502,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
2,bp_v1_1_0006,79.0363688344112,9.211603488901714,0.6088929686810425,center,0.5882353186607361,11.095689600985386,2.7625406,0.7931868,701.3445,30.79721,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
3,bp_v1_1_0002,79.36874548953543,9.211603488901714,0.5938780816097388,edge,0.5882353186607361,12.559551324401395,2.0868378,0.77599794,1185.072,30.025217,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
4,bp_v1_1_0003,79.35976233669423,9.211603488901714,0.5775750848142038,edge,0.5882353186607361,12.285080365190993,3.3686275,0.7645543,1036.8939,29.793667,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
5,bp_v1_1_0005,79.36874548953543,9.220586641742909,0.5592669325145364,edge,0.5882353186607361,11.620533664619703,1.9482032,0.77599794,1211.6467,30.276594,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
6,bp_v1_1_0007,79.02738568157001,9.220586641742909,0.5422164591092374,center,0.5882353186607361,10.69317143466339,3.3864644,0.7683367,702.2466,31.392864,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
7,bp_v1_1_0008,79.0363688344112,9.220586641742909,0.4789137275343169,center,0.5882353186607361,10.215254739904982,3.2454302,0.7658869,715.94806,32.32369,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
8,bp_v1_1_0009,79.00941937588762,9.400249698566814,0.25010807912447547,edge,0.5882353186607361,7.230908016807383,2.5736299,0.5595071,472.44177,32.38541,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
9,bp_v1_1_0010,79.01840252872881,9.400249698566814,0.23643807133310835,edge,0.5882353186607361,7.025927971869719,3.1175733,0.5595071,502.00067,32.39749,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
10,bp_v1_1_0011,79.00941937588762,9.39126654572562,0.21543006356451352,edge,0.5882353186607361,6.280762671302906,2.3373046,0.5595071,472.63657,32.393036,satellite_digitized,boundary_positive_mining_v1_1,model-guided candidate; requires manual verification,,Kappaphycus alvarezii,,,1,1.0,False,0.85,False,,pending,high_model_score_with_uncertainty_and_diversity,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD
