record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
TN-01,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.19048611111111,8.747483333333333,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-02,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.18999722222223,8.74621111111111,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-03,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,78.19485833333334,8.745869444444443,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-04,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18876111111112,9.279433333333333,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-05,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18615833333334,9.287433333333333,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-06,literature,gemini_seed_batch,DOI:10.56042/ijms.v47i06.13600,https://doi.org/10.56042/ijms.v47i06.13600,Kappaphycus alvarezii,,,79.18971666666667,9.283852777777778,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-07,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.40525000000001,9.194916666666668,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-09,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.33191666666666,9.317,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-10,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.31530555555555,9.3275,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-11,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.31277777777777,9.32825,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-12,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.29994444444445,9.322833333333334,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-13,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.29291666666667,9.320916666666667,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-14,government,gemini_seed_batch,"MFIS Tech Series 246, 2020",,Kappaphycus alvarezii,,,79.27197222222222,9.297944444444445,1,1.0,True,0.95,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-20,literature,gemini_seed_batch,DOI:10.4490/algae.2010.25.4.205,https://doi.org/10.4490/algae.2010.25.4.205,Kappaphycus alvarezii,,,79.21000000000001,9.239999999999998,1,1.0,True,1.0,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-22,satellite_digitized,gemini_seed_batch,Raft Cluster Analysis,,Kappaphycus alvarezii,,,79.13,9.270000000000001,1,0.8,True,0.85,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-23,satellite_digitized,gemini_seed_batch,Raft Cluster Analysis,,Kappaphycus alvarezii,,,79.11,9.26,1,0.8,True,0.85,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-24,satellite_digitized,gemini_seed_batch,Raft Cluster Analysis,,Kappaphycus alvarezii,,,79.16000000000001,9.94,1,0.8,True,0.85,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
TN-25,satellite_digitized,gemini_seed_batch,Raft Cluster Analysis,,Kappaphycus alvarezii,,,79.2,9.98,1,0.8,True,0.85,True,pending_manual_review,approved,seeded_from_user_supplied_table,original_species_text=K. alvarezii
