record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
PDF-001,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23238888888889,9.29213888888889,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Akkalmadam (Mandapam Coast) – 9°17′31.7″N, 79°13′56.6″E 5 .",Extracted from user-provided verified farm sites PDF
PDF-002,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22027777777778,9.291416666666667,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Pamban (Mandapam Coast) – 9°17′29.1″N, 79°13′13.0″E 5 .",Extracted from user-provided verified farm sites PDF
PDF-003,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.17936111111112,9.283888888888889,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Thonithurai (Mandapam Coast) – 9°17′02.0″N, 79°10′45.7″E 5 .",Extracted from user-provided verified farm sites PDF
PDF-004,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.40525000000001,9.194916666666668,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Dhanushkodi (Ramanathapuram – Palk Bay) – 9°11′41.7″N, 79°24′18.9″E 3 .",Extracted from user-provided verified farm sites PDF
PDF-005,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.33191666666666,9.317,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Olaikuda (Ramanathapuram – Palk Bay) – 9°19′01.2″N, 79°19′54.9″E 6 .",Extracted from user-provided verified farm sites PDF
PDF-006,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.31277777777777,9.32825,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Sambai (Ramanathapuram – Palk Bay) – 9°19′41.7″N, 79°18′46.0″E 7 .",Extracted from user-provided verified farm sites PDF
PDF-007,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29994444444445,9.322833333333334,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Vadakadu (Ramanathapuram – Palk Bay) – 9°19′22.2″N, 79°17′59.8″E 7 .",Extracted from user-provided verified farm sites PDF
PDF-008,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29291666666667,9.320916666666667,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Pillaikulam (Ramanathapuram – Palk Bay) – 9°19′15.3″N, 79°17′34.5″E 8 .",Extracted from user-provided verified farm sites PDF
PDF-009,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.27197222222222,9.297944444444445,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Ariyankundu (Ramanathapuram – Palk Bay) – 9°17′52.6″N, 79°16′19.1″E 8 .",Extracted from user-provided verified farm sites PDF
PDF-010,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.26163888888888,9.29275,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Villoondi (Ramanathapuram – Palk Bay) – 9°17′33.9″N, 79°15′41.9″E 8 .",Extracted from user-provided verified farm sites PDF
PDF-011,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.254,9.291777777777778,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Manthoppu (Ramanathapuram – Palk Bay) – 9°17′30.4″N, 79°15′14.4″E 9 .",Extracted from user-provided verified farm sites PDF
PDF-012,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.24508333333334,9.292277777777779,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Victoria Nagar (Ramanathapuram – Palk Bay) – 9°17′32.2″N, 79°14′42.3″E 9 .",Extracted from user-provided verified farm sites PDF
PDF-013,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23966666666666,9.292305555555556,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Naalupanai (Ramanathapuram – Palk Bay) – 9°17′32.3″N, 79°14′22.8″E 9 .",Extracted from user-provided verified farm sites PDF
PDF-014,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.14469444444445,9.29138888888889,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• T.Nagar (Palk Bay area) – 9°17′29.0″N, 79°08′40.9″E 4 .",Extracted from user-provided verified farm sites PDF
PDF-015,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.13327777777778,9.287805555555556,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Munaikadu (Palk Bay) – 9°17′16.1″N, 79°07′59.8″E 4 .",Extracted from user-provided verified farm sites PDF
PDF-016,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.12547222222221,9.287638888888889,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Umayalpuram (Palk Bay) – 9°17′15.5″N, 79°07′31.7″E 4 .",Extracted from user-provided verified farm sites PDF
PDF-017,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.10499999999999,9.289,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Vedelai (Palk Bay) – 9°17′20.4″N, 79°06′18.0″E 10 .",Extracted from user-provided verified farm sites PDF
PDF-018,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.08533333333332,9.294972222222222,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Pillaimadam (Palk Bay) – 9°17′41.9″N, 79°05′07.2″E 11 .",Extracted from user-provided verified farm sites PDF
PDF-019,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.05425,9.305833333333334,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Pirappanvalasai (Palk Bay) – 9°18′21.0″N, 79°03′15.3″E 12 .",Extracted from user-provided verified farm sites PDF
PDF-020,government,cmfri_compilation_pdf,MFIS_246_B Johnson + cited peer-reviewed records,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.02883333333334,9.322611111111112,1,1.0,True,0.95,True,pending_manual_review,approved,"farm_site_from_pdf:• Irumeni (Palk Bay) – 9°19′21.4″N, 79°01′43.8″E 13 .",Extracted from user-provided verified farm sites PDF
