record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes
V11-001,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23238889,9.29213889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Akkalmadam,User-provided final recommended v1.1 positive list
V11-002,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22027778,9.29141667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pamban,User-provided final recommended v1.1 positive list
V11-003,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.17936111,9.28388889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Thonithurai,User-provided final recommended v1.1 positive list
V11-004,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22111111,9.26347222,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Kunthukal,User-provided final recommended v1.1 positive list
V11-005,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.14588889,9.27613889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Mandapam,User-provided final recommended v1.1 positive list
V11-006,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.40525,9.19491667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Dhanushkodi,User-provided final recommended v1.1 positive list
V11-007,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.33191667,9.317,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Olaikuda,User-provided final recommended v1.1 positive list
V11-008,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.31277778,9.32825,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Sambai,User-provided final recommended v1.1 positive list
V11-009,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29994444,9.32283333,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Vadakadu,User-provided final recommended v1.1 positive list
V11-010,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29291667,9.32091667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pillaikulam,User-provided final recommended v1.1 positive list
