record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,in_bounds,nearest_snap_m,snapped_lon,snapped_lat,within_1500m,snap_hits_existing_positive,status_hint
V11-001,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23238889,9.29213889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Akkalmadam,User-provided final recommended v1.1 positive list,True,9087.620406039601,79.2160318912351,9.211603488901714,False,False,too_far_from_grid
V11-002,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22027778,9.29141667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pamban,User-provided final recommended v1.1 positive list,True,8840.551246009136,79.2160318912351,9.211603488901714,False,False,too_far_from_grid
V11-003,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.17936111,9.28388889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Thonithurai,User-provided final recommended v1.1 positive list,True,6303.7205526938915,79.13518351566435,9.247536100266496,False,False,too_far_from_grid
V11-004,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22111111,9.26347222,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Kunthukal,User-provided final recommended v1.1 positive list,True,5764.344343655507,79.2160318912351,9.211603488901714,False,False,too_far_from_grid
V11-005,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.14588889,9.27613889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Mandapam,User-provided final recommended v1.1 positive list,True,3375.555666866139,79.13518351566435,9.247536100266496,False,False,too_far_from_grid
V11-006,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.40525,9.19491667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Dhanushkodi,User-provided final recommended v1.1 positive list,True,4101.18435041999,79.36874548953543,9.20262033606052,False,False,too_far_from_grid
V11-007,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.33191667,9.317,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Olaikuda,User-provided final recommended v1.1 positive list,True,1263.0244644765905,79.33281287817064,9.328384475837252,True,False,candidate_ok
V11-008,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.31277778,9.32825,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Sambai,User-provided final recommended v1.1 positive list,True,2201.0905153888293,79.33281287817064,9.328384475837252,False,False,too_far_from_grid
V11-009,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29994444,9.32283333,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Vadakadu,User-provided final recommended v1.1 positive list,True,3662.7687825526214,79.33281287817064,9.328384475837252,False,False,too_far_from_grid
V11-010,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29291667,9.32091667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pillaikulam,User-provided final recommended v1.1 positive list,True,4460.18380430904,79.33281287817064,9.328384475837252,False,False,too_far_from_grid
V11-011,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.27197222,9.29794444,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Ariyankundu,User-provided final recommended v1.1 positive list,True,7484.331793593016,79.33281287817064,9.328384475837252,False,False,too_far_from_grid
V11-012,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.26163889,9.29275,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Villoondi,User-provided final recommended v1.1 positive list,True,8756.779727465188,79.33281287817064,9.328384475837252,False,False,too_far_from_grid
