record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,snap_dist_m,within_1km,snapped_lon,snapped_lat,depth,slope,distance_to_shore,shallow_mask,rain_mean,rain_std,extreme_rain,wind_mean,wind_std,chl_mean,chl_std,turb_mean,turb_std,cyclone,wave_mean,wave_std,sal_mean,sal_std,sal_shock_days,current_mean,extreme_wave_days,sst_mean,sst_var,heat_stress_freq
V11-001,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23238889,9.29213889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Akkalmadam,User-provided final recommended v1.1 positive list,9375.633569345997,False,79.2140166286164,9.209365103202996,4.0,0.112648875,6324.555,1.0,0.08350476,0.11696707,4.0,5.517838,1.980814,1.9834868,3.1619828,610.0141,1349.0564,7.5781474,0.9237172,0.30290312,29.972847,0.20425983,0.0,0.19887953,3.0,29.34995,2.0723448,228.0
V11-002,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22027778,9.29141667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pamban,User-provided final recommended v1.1 positive list,9101.867713827136,False,79.2140166286164,9.209365103202996,4.0,0.112648875,6324.555,1.0,0.08350476,0.11696707,4.0,5.517838,1.980814,1.9834868,3.1619828,610.0141,1349.0564,7.5781474,0.9237172,0.30290312,29.972847,0.20425983,0.0,0.19887953,3.0,29.34995,2.0723448,228.0
V11-003,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.17936111,9.28388889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Thonithurai,User-provided final recommended v1.1 positive list,6040.86923086046,False,79.13316825304565,9.254280867408973,3.0,0.044011295,1414.2136,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.5802588,0.678245,722.75024,1163.4829,1.1433283,0.7628159,0.15159662,31.786808,1.7567143,0.0,0.19775502,0.0,29.220367,2.177449,619.0
V11-004,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.22111111,9.26347222,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Kunthukal,User-provided final recommended v1.1 positive list,6035.417104339342,False,79.2140166286164,9.209365103202996,4.0,0.112648875,6324.555,1.0,0.08350476,0.11696707,4.0,5.517838,1.980814,1.9834868,3.1619828,610.0141,1349.0564,7.5781474,0.9237172,0.30290312,29.972847,0.20425983,0.0,0.19887953,3.0,29.34995,2.0723448,228.0
V11-005,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.14588889,9.27613889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Mandapam,User-provided final recommended v1.1 positive list,2792.849953226646,False,79.13316825304565,9.254280867408973,3.0,0.044011295,1414.2136,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.5802588,0.678245,722.75024,1163.4829,1.1433283,0.7628159,0.15159662,31.786808,1.7567143,0.0,0.19775502,0.0,29.220367,2.177449,619.0
V11-006,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.40525,9.19491667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Dhanushkodi,User-provided final recommended v1.1 positive list,4276.125082124934,False,79.36673022691673,9.200381950361798,2.0,0.11191936,5830.9517,1.0,0.082993396,0.11283205,4.0,5.6421647,2.1275225,2.0843062,0.60236216,596.38873,709.63525,2.919351,0.7790142,0.29991353,29.632978,0.08195407,0.0,0.33284944,0.0,29.279306,1.9672616,209.0
V11-007,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.33191667,9.317,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Olaikuda,User-provided final recommended v1.1 positive list,1019.0476929872882,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-008,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.31277778,9.32825,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Sambai,User-provided final recommended v1.1 positive list,1993.2824571901428,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-009,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29994444,9.32283333,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Vadakadu,User-provided final recommended v1.1 positive list,3409.302464389531,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-010,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.29291667,9.32091667,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pillaikulam,User-provided final recommended v1.1 positive list,4201.653442297879,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
