record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,p_raw,p_raw_std,p_calibrated,dist_to_pos_km,regime_bin,subregion_id
v12r_0001,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.00941937588762,9.364317087202032,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.90262055,0.0,0.6666667,3.575536697797629,1_0_1_4,12
v12r_0002,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.00941937588762,9.355333934360836,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.91206586,0.0,0.6666667,2.801218707920288,0_0_1_4,12
v12r_0003,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.01840252872881,9.355333934360836,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.9165712,0.0,0.6666667,2.219080837188699,1_0_1_4,12
v12r_0004,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.01840252872881,9.346350781519645,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.9241255,0.0,0.6666667,1.400614390306968,0_0_1_4,12
v12r_0005,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.73705475602442,9.130755113330958,1,1.0,False,0.6666667,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.95566845,0.0,0.6666667,1.4005429504878832,4_2_2_0,14
v12r_0006,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.12620036282316,9.220586641742909,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.68950576,0.0,0.42424244,4.095504095171446,2_4_4_1,12
v12r_0007,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71908845034204,9.06787304344259,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.808798,0.0,0.42424244,3.5668279326717194,1_3_3_1,9
v12r_0008,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.74603790886562,9.6158453667555,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.7888026,0.0,0.42424244,3.1390962079402778,2_3_0_1,19
v12r_0009,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.13518351566435,9.229569794584105,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.6883996,0.0,0.42424244,2.9810449135096118,2_2_4_2,12
v12r_0010,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.76400421454801,9.0499067377602,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.7269883,0.0,0.42424244,2.80137626198327,2_3_3_3,9
v12r_0011,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71908845034204,9.08583934912498,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.70655864,0.0,0.42424244,2.8012388400581254,4_4_3_0,9
v12r_0012,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.71010529750085,9.08583934912498,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.8393383,0.0,0.42424244,1.9747785822213864,3_4_3_0,9
v12r_0013,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.74603790886562,9.49906437981996,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.8575856,0.0,0.42424244,1.399828714470158,0_2_2_3,19
v12r_0014,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.74603790886562,9.508047532661156,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.8829255,0.0,0.42424244,1.3997931670545714,1_2_1_4,19
v12r_0015,satellite_digitized,v1_2_custom_positive_mining_relaxed,model-guided candidate; needs manual verification,,Kappaphycus alvarezii,,,79.75502106170681,9.66974428380267,1,1.0,False,0.42424244,False,,pending,regime_diversity_candidate_v1_2_relaxed,"verify_by_multidate_satellite>=3_dates,persistent_raft>=2_dates,not_port_shipping,verified_dates=YYYY-MM-DD;YYYY-MM-DD;YYYY-MM-DD",0.69223696,0.0,0.42424244,1.3994609256511723,1_2_0_2,19
